,Company,Location,Date,Job_Title,Subspecialty,Years_Experience,Total_Comp
760,Booking.com,"Amsterdam, NH, Netherlands", 3/23/20,F,Distributed Systems (Back-End),,"$135,000"
761,Zillow Group,"Seattle, WA", 3/22/20,M4,DevOps,,"$257,000"
762,PwC,"San Jose, CA", 3/21/20,Sr. Manager,Security,,"$205,000"
763,Amazon,"Seattle, WA", 3/21/20,L6 SDM,API Development (Back-End),,"$296,000"
764,Amazon,"Seattle, WA", 3/20/20,L6 SDM,Distributed Systems (Back-End),,"$330,000"
765,Google,"Sunnyvale, CA", 3/20/20,Manager (L6),Distributed Systems (Back-End),,"$429,000"
766,Snap,"Seattle, WA", 3/20/20,L6,Distributed Systems (Back-End),,"$700,000"
767,Nike,"Boston, MA", 3/20/20,Director,Full Stack,,"$265,000"
768,Amazon,"Seattle, WA", 3/18/20,L7,Full Stack,,"$600,000"
769,Amazon,"Seattle, WA", 3/18/20,L7,Distributed Systems (Back-End),,"$425,000"
770,Microsoft,"Seattle, WA", 3/18/20,66,Distributed Systems (Back-End),,"$370,000"
771,Capital One,"Washington, DC", 3/17/20,Senior Manager,Distributed Systems (Back-End),,"$200,000"
772,Tableau Software,"Kirkland, WA", 3/13/20,Manager,Full Stack,,"$282,000"
773,Cisco,"San Jose, CA", 3/12/20,Grade 11,Full Stack,,"$190,000"
774,Facebook,"Menlo Park, CA", 3/12/20,M2,Full Stack,,"$720,000"
775,Amazon,"San Jose, CA", 3/11/20,L6 SDM,Distributed Systems (Back-End),,"$330,000"
776,Facebook,"Menlo Park, CA", 3/10/20,M1,ML / AI,,"$610,000"
777,Facebook,"Menlo Park, CA", 3/10/20,M1,Full Stack,,"$550,000"
778,Amazon,"Newark, NJ", 3/10/20,L6,Full Stack,,"$183,000"
779,Accenture,"New York, N",| 3/9/20,Manager,Distributed Systems (Back-End),,"$150,000"
780,T-Mobile,"Seattle, W",| 3/9/20,L08,Security,,"$202,000"
781,Snap,"Seattle, W",| 3/9/20,L7,Distributed Systems (Back-End),,"$1,407,000"
782,Dropbox,"San Francisco, C",| 3/9/20,L5,Full Stack,,"$620,000"
783,Facebook,"London, EN, United Kingdo",| 3/8/20,M1,Full Stack,,"$342,000"
784,Twilio,"San Francisco, C",| 3/8/20,M1,API Development (Back-End),,"$320,000"
785,Microsoft,"Seattle, W",| 3/7/20,65,Full Stack,,"$280,000"
786,Uber,"San Francisco, C",| 3/7/20,L6,ML / AI,,"$550,000"
787,Wayfair,"Boston, M",| 3/7/20,L3,iOS,,"$180,000"
788,Bloomberg,"New York, N",| 3/7/20,Senior Software Engineer,Distributed Systems (Back-End),,"$323,000"
789,Salesforce,"Seattle, W",| 3/6/20,Senior Director,Full Stack,,"$700,000"
790,Bloomberg,"New York, N",| 3/6/20,TL,Full Stack,,"$357,000"
791,Expedia,"Seattle, W",| 3/6/20,M,Distributed Systems (Back-End),,"$220,000"
792,Wayfair,"Boston, M",| 3/6/20,Associate Director,Distributed Systems (Back-End),,"$650,000"
793,Wells Fargo,"St. Louis, M",| 3/6/20,Senior,Full Stack,,"$290,000"
794,Salesforce,"Seattle, W",| 3/6/20,10,Data,,"$470,000"
795,Microsoft,"Singapore, SG, Singapor",| 3/6/20,66,ML / AI,,"$370,000"
796,Amazon,"Seattle, W",| 3/5/20,L6,Distributed Systems (Back-End),,"$311,000"
797,Salesforce,"Bellevue, W",| 3/5/20,Director,DevOps,,"$383,000"
798,Microsoft,"Bellevue, W",| 3/5/20,66,Distributed Systems (Back-End),,"$370,000"
799,Apple,"Cupertino, C",| 3/5/20,M2,Distributed Systems (Back-End),,"$469,000"
800,Procore,"New York, N",| 3/4/20,IC4,Full Stack,,"$185,000"
801,General Motors,"Austin, T",| 3/4/20,8B,Web Development (Front-End),,"$196,000"
802,Salesforce,"Vancouver, BC, Canad",| 3/4/20,7,Full Stack,,"$181,000"
803,SAP,"Bellevue, W",| 3/3/20,T4-2,Full Stack,,"$229,000"
804,Bloomberg,"New York, N",| 3/3/20,Engineering manager,Distributed Systems (Back-End),,"$350,000"
805,Amazon,"Seattle, W",| 3/3/20,L6,Full Stack,,"$260,000"
806,Microsoft,"Redmond, W",| 3/3/20,66,Distributed Systems (Back-End),,"$585,000"
807,Bloomberg,"New York, N",| 3/2/20,engineering manager,Distributed Systems (Back-End),,"$500,000"
808,Wayfair,"Boston, M",| 3/2/20,L4,Full Stack,,"$238,000"
809,Microsoft,"Redmond, WA", 2/28/20,66,ML / AI,,"$340,000"
810,Bloomberg,"New York, NY", 2/28/20,Engineering Manager,Full Stack,,"$380,000"
811,Epic,"Verona, WI", 2/28/20,Senior software developer,Full Stack,,"$190,000"
812,Dell,"Santa Clara, CA", 2/27/20,M9,Networking,,"$235,000"
813,Intuit,"San Diego, CA", 2/27/20,Group Manager,Distributed Systems (Back-End),,"$325,000"
814,Oracle,"Redwood City, CA", 2/27/20,M3,Full Stack,,"$200,000"
815,eBay,"San Jose, CA", 2/26/20,27,Distributed Systems (Back-End),,"$400,000"
816,Goldman Sachs,"New York, NY", 2/26/20,Executive Director / Vice-President,Full Stack,,"$330,000"
817,Amazon,"New York, NY", 2/26/20,L6 SDM,Management,,"$325,000"
818,Amazon,"Seattle, WA", 2/25/20,L6,Distributed Systems (Back-End),,"$300,000"
819,PayPal,"San Jose, CA", 2/25/20,T26,Web Development (Front-End),,"$325,000"
820,eBay,"San Jose, CA", 2/25/20,Senior MTS,Security,,"$400,000"
821,Amazon,"Seattle, WA", 2/25/20,L7,Devices Engineering,,"$460,000"
822,Yahoo,"Los Angeles, CA", 2/25/20,M4,DevOps,,"$303,000"
823,Facebook,"Menlo Park, CA", 2/24/20,M1,Web Development (Front-End),,"$380,000"
824,Applied materials,"Seoul, KG, Korea, South", 2/24/20,M7,iOS,,"$280,000"
825,IBM,"New York, NY", 2/23/20,9,Distributed Systems (Back-End),,"$215,000"
826,SmartSheet,"Seattle, WA", 2/23/20,L8,Full Stack,,"$350,000"
827,Amazon,"Dublin, DN, Ireland", 2/23/20,L6,Networking,,"$142,000"
828,eBay,"San Jose, CA", 2/23/20,MTS 2,Manager,,"$305,000"
829,Aetna,"Denver, CO", 2/22/20,2,API Development (Back-End),,"$180,000"
830,Amazon,"Seattle, WA", 2/22/20,L6 SDM,API Development (Back-End),,"$320,000"
831,Houzz,"Palo Alto, CA", 2/22/20,7,Full Stack,,"$805,000"
832,Amazon,"Seattle, WA", 2/21/20,L6 SDM,Distributed Systems (Back-End),,"$310,000"
833,Goldman Sachs,"Salt Lake City, UT", 2/21/20,Executive Director / Vice-President,API Development (Back-End),,"$135,000"
834,Amazon,"Seattle, WA", 2/21/20,L6,Distributed Systems (Back-End),,"$390,000"
835,Bank of America,"New York, NY", 2/21/20,Vice President,Distributed Systems (Back-End),,"$229,000"
836,Splunk,"San Jose, CA", 2/20/20,M3,Testing (SDET),,"$303,000"
837,Tableau Software,"Kirkland, WA", 2/20/20,Staff SWE,Distributed Systems (Back-End),,"$311,000"
838,Amazon,"Seattle, WA", 2/20/20,6,API Development (Back-End),,"$520,000"
839,OYO,"Gurgaon, HR, India", 2/20/20,AVP,Full Stack,,"$153,000"
840,Amazon,"Seattle, WA", 2/20/20,L6 SDM,API Development (Back-End),,"$340,000"
841,Workday,"Pleasanton, CA", 2/19/20,M3,Site Reliability (SRE),,"$328,000"
842,Amazon,"Seattle, WA", 2/19/20,L7,Distributed Systems (Back-End),,"$462,000"
843,JPMorgan,"Jersey City, NJ", 2/19/20,VP,Full Stack,,"$177,000"
844,Amazon,"Seattle, WA", 2/18/20,6,iOS,,"$277,000"
845,Amazon,"Seattle, WA", 2/18/20,L6 SDM,Full Stack,,"$250,000"
846,McKinsey,"Boston, MA", 2/18/20,Engagement Manager,Distributed Systems (Back-End),,"$253,000"
847,Rally Health,"San Francisco, CA", 2/18/20,M1,Distributed Systems (Back-End),,"$305,000"
848,Capital One,"New York, NY", 2/17/20,Senior Director of Software Eng,Full Stack,,"$340,000"
849,Amazon,"Seattle, WA", 2/17/20,L6,Mobile (iOS + Android),,"$256,000"
850,Red Ventures,"Charlotte, NC", 2/17/20,Director,Distributed Systems (Back-End),,"$135,000"
851,Mathworks,"Boston, MA", 2/17/20,E4,Full Stack,,"$250,000"
852,Wayfair,"Boston, MA", 2/17/20,L3,Full Stack,,"$211,000"
