,Company,Location,Date,Job_Title,Subspecialty,Years_Experience,Total_Comp
364,Amazon,"Seattle, WA", 6/10/20,L6,API Development (Back-End),,"$283,000"
365,Intel,"Santa Clara, CA", 6/10/20,sr. Director,Communications,,"$600,000"
366,Citi,"Irving, T",| 6/9/20,C13,Full Stack,,"$146,000"
367,Yandex,"Moscow, MC, Russi",| 6/8/20,G18,Networking,,"$110,000"
368,Apple,"Cupertino, C",| 6/7/20,Ict4,Hardware Engineering,,"$445,000"
369,Apple,"Cupertino, C",| 6/6/20,IC3,Ops,,"$258,000"
370,Amazon,"Seattle, W",| 6/6/20,L6,Hardware,,"$241,000"
371,Oracle,"Seattle, W",| 6/4/20,IC-4,cloud,,"$330,000"
372,Amazon,"Seattle, W",| 6/4/20,L7,Full Stack,,"$280,000"
373,Microsoft,"Sunnyvale, C",| 6/3/20,64,ML / AI,,"$268,000"
374,Amazon,"Seattle, W",| 6/2/20,L6,Hardware,,"$241,000"
375,Microsoft,"Singapore, SG, Singapor",| 6/1/20,63,Developer Relations,,"$114,000"
376,Salesforce,"Washington, D",| 6/1/20,LMTS,Security,,"$242,000"
377,Facebook,"Menlo Park, C",| 6/1/20,IC4,Hardware,,"$225,000"
378,Amazon,"Seattle, WA", 5/31/20,L6,DevOps,,"$266,000"
379,Amazon,"Seattle, WA", 5/31/20,L5,DevOps,,"$104,000"
380,Amazon,"Bangalore, KA, India", 5/30/20,L5,Full Stack,,"$66,000"
381,Amazon,"Seattle, WA", 5/30/20,L7,Distributed Systems (Back-End),,"$360,000"
382,Amazon,"Sunnyvale, CA", 5/29/20,L6,Embedded,,"$302,000"
383,Facebook,"Menlo Park, CA", 5/28/20,E5,Central,,"$307,000"
384,Google,"Mountain View, CA", 5/28/20,L5,Search,,"$285,000"
385,Dropbox,"San Francisco, CA", 5/27/20,L4,Security,,"$354,000"
386,Microsoft,"Redmond, WA", 5/26/20,62,Analytics,,"$170,000"
387,Amazon,"Seattle, WA", 5/25/20,L6,API Development (Back-End),,"$260,000"
388,Google,"Pittsburgh, PA", 5/25/20,L6,Site Reliability (SRE),,"$315,000"
389,Amazon,"Seattle, WA", 5/25/20,L6,Security,,"$150,000"
390,Twitch,"Salt Lake City, UT", 5/24/20,L4,Internal Tools,,"$136,000"
391,Intuit,"Mountain View, CA", 5/22/20,Staff,Distributed Systems (Back-End),,"$272,000"
392,Google,"Sunnyvale, CA", 5/22/20,Manager (L6),Operations,,"$318,000"
393,Microsoft,"Redmond, WA", 5/21/20,65,Cloud Infrastructure,,"$260,000"
394,Microsoft,"Redmond, WA", 5/21/20,60,OS Compatibility,,"$132,000"
395,Amazon,"Los Angeles, CA", 5/20/20,L7,API Development (Back-End),,"$460,000"
396,Apple,"Shenzhen, GD, China", 5/20/20,ICT4,DevOps,,"$110,000"
397,Nvidia,"Santa Clara, CA", 5/20/20,IC4,Distributed Systems (Back-End),,"$311,000"
398,Amazon,"San Francisco, CA", 5/20/20,L6,API Development (Back-End),,"$450,000"
399,Starbucks,"Seattle, WA", 5/17/20,27,API Development (Back-End),,"$205,000"
400,Google,"Sunnyvale, CA", 5/17/20,L5,Distributed Systems (Back-End),,"$405,000"
401,Uber,"San Francisco, CA", 5/17/20,L5A,Mobile (iOS + Android),,"$250,000"
402,ibm,"Austin, TX", 5/17/20,3,DevOps,,"$85,000"
403,Atlassian,"Sydney, NS, Australia", 5/16/20,P6,Site Reliability (SRE),,"$182,000"
404,Airbnb,"San Francisco, CA", 5/15/20,L10,Full Stack,,"$278,000"
405,Apple,"Santa Clara, CA", 5/15/20,ICT4,Distributed Systems (Back-End),,"$200,000"
406,Ernst and Young,"Secaucus, NJ", 5/15/20,Assistant Director,Security,,"$189,000"
407,Microsoft,"Seattle, WA", 5/14/20,64,Distributed Systems (Back-End),,"$210,000"
408,Microsoft,"Redmond, WA", 5/14/20,63,Networking,,"$230,000"
409,Google,"New York, NY", 5/14/20,L3,Cloud,,"$163,000"
410,Microsoft,"Redmond, WA", 5/14/20,64,Full Stack,,"$241,000"
411,Uber,"San Francisco, CA", 5/14/20,L4,Program Management,,"$162,000"
412,Pure Storage,"Mountain View, CA", 5/14/20,Manager,Marketing,,"$210,000"
413,Expedia,"Seattle, WA", 5/13/20,M,Distributed Systems (Back-End),,"$220,000"
414,Microsoft,"Redmond, WA", 5/13/20,59,Security,,"$199,000"
415,Airbnb,"San Francisco, CA", 5/11/20,9,Full Stack,,"$390,000"
416,Dell,"Austin, TX", 5/11/20,L10,iOS,,"$262,000"
417,Facebook,"Menlo Park, CA", 5/10/20,IC5,Data,,"$275,000"
418,Facebook,"Menlo Park, C",| 5/9/20,IC5,Hardware,,"$338,000"
419,Amazon,"Seattle, W",| 5/8/20,L5,Cloud,,"$153,000"
420,Microsoft,"Redwood City, C",| 5/8/20,65,mixed reality,,"$300,000"
421,Amazon,"Denver, C",| 5/5/20,L6,Regional,,"$248,000"
422,Deloitte,"New York, N",| 5/4/20,BA,Consulting,,"$87,000"
423,Amazon,"Hyderabad, TS, Indi",| 5/3/20,L5,Full Stack,,"$70,000"
424,Facebook,"San Francisco, C",| 5/3/20,IC6,Distributed Systems (Back-End),,"$389,000"
425,iCIMS,"Holmdel, N",| 5/2/20,L3,Engineering,,"$150,000"
426,Google,"Zurich, ZH, Switzerlan",| 5/2/20,L5,Security,,"$330,000"
427,Microsoft,"Washington, D",| 5/2/20,66,Program Manager,,"$405,000"
428,Amazon,"Seattle, WA", 4/30/20,L6,Operations,,"$220,000"
429,Oracle,"Seattle, WA", 4/29/20,M4,DevOps,,"$250,000"
430,Microsoft,"Redmond, WA", 4/27/20,62,Cloud,,"$185,000"
431,Amazon,"Toronto, ON, Canada", 4/25/20,L6,Mobile (iOS + Android),,"$230,000"
432,Google,"Kirkland, WA", 4/24/20,L5,Cloud,,"$310,000"
433,Google,"Taipei, TP, Taiwan", 4/23/20,L4,Program management,,"$103,000"
434,Amazon,"Seattle, WA", 4/23/20,L6,Networking,,"$215,000"
435,Google,"Mountain View, CA", 4/22/20,L5,Mobile (iOS + Android),,"$301,000"
436,Microsoft,"Redmond, WA", 4/21/20,66,Distributed Systems (Back-End),,"$370,000"
437,VMWare,"Palo Alto, CA", 4/20/20,Senior,TPM,,"$264,000"
438,Expedia,"Seattle, WA", 4/18/20,M,Distributed Systems (Back-End),,"$220,000"
439,Expedia,"London, EN, United Kingdom", 4/18/20,M,Distributed Systems (Back-End),,"$165,000"
440,PwC,"Houston, TX", 4/18/20,Director D2,Full Stack,,"$270,000"
441,Oracle,"Seattle, WA", 4/17/20,IC-3,Security,,"$225,000"
442,Amazon,"Seattle, WA", 4/16/20,Senior Product Manager,Security,,"$150,000"
443,HP,"Taipei, TP, Taiwan", 4/16/20,Specialist,EPM,,"$60,000"
444,Amazon,"Sunnyvale, CA", 4/15/20,L5,Hardware,,"$205,000"
445,IBM,"Phoenix, AZ", 4/15/20,9,DevOps,,"$176,000"
446,Microsoft,"Seattle, WA", 4/15/20,59,n/a,,"$189,000"
447,Google,"Mountain View, CA", 4/13/20,L5,Mobile (iOS + Android),,"$290,000"
448,Amazon,"Sunnyvale, CA", 4/12/20,L6,NLP,,"$260,000"
449,Amazon,"Luxembourg, LU, Luxembourg", 4/12/20,L5,Project Management,,"$85,000"
450,Snap,"Los Angeles, C",| 4/9/20,L6,Security,,"$750,000"
451,Salesforce,"Bellevue, W",| 4/8/20,L8,Security,,"$257,000"
452,Microsoft,"Redmond, W",| 4/8/20,60,Windows,,"$154,000"
453,Microsoft,"Herndon, V",| 4/8/20,64,Networking,,"$221,000"
454,Apple,"Cupertino, C",| 4/7/20,ICT3,Hardware Manufacturing,,"$255,000"
455,Oracle,"Redwood City, C",| 4/6/20,IC-5,Program management,,"$163,000"
456,EY,"Seattle, W",| 4/4/20,Managing Director,Security,,"$310,000"
457,Amazon,"Seattle, W",| 4/3/20,L6,Mobile (iOS + Android),,"$233,000"
458,Expedia,"Seattle, W",| 4/3/20,2,Full Stack,,"$120,000"
459,Google,"Mountain View, C",| 4/3/20,L4,Analytics,,"$195,000"
460,Google,"Sunnyvale, C",| 4/2/20,L4,Privacy,,"$230,000"
461,Amazon,"Detroit, MI", 3/30/20,L5,Distributed Systems (Back-End),,"$194,000"
462,Broadcom,"Irvine, CA", 3/29/20,ICT5,DevOps,,"$400,000"
463,Google,"Seattle, WA", 3/28/20,L4,Full Stack,,"$200,000"
464,Amazon,"Luxembourg, LU, Luxembourg", 3/28/20,L4,Project Management,,"$74,000"
465,Google,"Los Angeles, CA", 3/27/20,L6,Web Development (Front-End),,"$400,000"
466,Chan Zuckerberg Initiative,"Redwood City, CA", 3/26/20,L6,Security,,"$240,000"
467,Chan Zuckerberg Initiative,"Palo Alto, CA", 3/26/20,Senior,Security,,"$240,000"
468,Amazon,"Seattle, WA", 3/24/20,L6,Hardware,,"$240,000"
469,Apple,"Austin, TX", 3/20/20,ICT4,Security,,"$218,000"
470,Cisco,"Istanbul, IB, Turkey", 3/20/20,Software Engineer III,Networking,,"$120,000"
471,Amazon,"Seattle, WA", 3/20/20,L5,Web Development (Front-End),,"$200,000"
472,Morgan Stanley,"New York, NY", 3/20/20,Associate,Data Analyst,,"$134,000"
473,SAMSUNG,"Austin, TX", 3/19/20,G7,DevOps,,"$188,000"
474,Google,"Mountain View, CA", 3/19/20,4,Testing (SDET),,"$231,000"
475,Amazon,"Seattle, WA", 3/18/20,L5,Finance,,"$150,000"
476,Accenture,"San Francisco, CA", 3/18/20,Associate Manager,Web Development (Front-End),,"$120,000"
477,Intel,"San Francisco, CA", 3/16/20,Grade 9,Full Stack,,"$260,000"
478,Amazon,"Vancouver, BC, Canada", 3/15/20,L6,DevOps,,"$150,000"
479,LinkedIn,"Sunnyvale, CA", 3/15/20,L2,Full Stack,,"$215,000"
480,Microsoft,"Redmond, WA", 3/13/20,64,Distributed Systems (Back-End),,"$300,000"
481,Workday,"Pleasanton, CA", 3/12/20,M4 Senior Manager,Technical Program Management,,"$275,000"
482,Apple,"Cupertino, CA", 3/11/20,ICT5,Distributed Systems (Back-End),,"$330,000"
483,Amazon,"Sunnyvale, CA", 3/10/20,L5,Hardware,,"$225,000"
484,Microsoft,"Seattle, WA", 3/10/20,64,Distributed Systems (Back-End),,"$251,000"
485,Salesforce,"Seattle, W",| 3/9/20,Senior,Full Stack,,"$234,000"
486,PwC,"New York, N",| 3/9/20,Manager,Cybersecurity,,"$168,000"
487,Oracle,"Seattle, W",| 3/9/20,Manager,Networking,,"$230,000"
488,Facebook,"Seattle, W",| 3/8/20,l5,Full Stack,,"$300,000"
489,Amazon,"San Francisco, C",| 3/8/20,L6,ML / AI,,"$275,000"
490,Cruise,"San Francisco, C",| 3/8/20,3,Robotics,,"$375,000"
491,Google,"Sunnyvale, C",| 3/6/20,L3,UX,,"$177,000"
492,Amazon,"Seattle, W",| 3/6/20,L6,Mobile (iOS + Android),,"$270,000"
493,Uber,"San Francisco, C",| 3/5/20,5a,Mobile (iOS + Android),,"$344,000"
494,Amazon,"Seattle, W",| 3/5/20,L6,Networking,,"$275,000"
495,Pivotal,"New York, N",| 3/5/20,m4,director,,"$360,000"
496,Lyft,"Palo Alto, C",| 3/5/20,T4,Hardware,,"$265,000"
497,Microsoft,"Redmond, W",| 3/3/20,62,Enterprise software,,"$174,000"
498,Facebook,"Menlo Park, C",| 3/3/20,M1,Developers,,"$660,000"
499,PayPal,"San Jose, C",| 3/3/20,T27,Program,,"$335,000"
500,Amazon,"Seattle, WA", 5/14/19,L5,Security,,"$180,000"
501,Amazon,"Sunnyvale, CA", 9/13/18,L6,Full Stack,,"$254,000"
502,Google,"Mountain View, CA", 8/22/18,L5,Healthcare,,"$269,000"
